==21021== NVPROF is profiling process 21021, command: ./automata-cuda sandsim
==21021== Profiling application: ./automata-cuda sandsim
==21021== Profiling result:
   Start  Duration  Name
2.33757s  37.292us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [160])
2.33761s  6.7210us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [161])
2.33762s  107.37ms  cudaMemcpyAsync
2.45994s  43.126us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [163])
2.45999s  7.1210us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [164])
2.45999s  108.03ms  cudaMemcpyAsync
2.58301s  37.295us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [166])
2.58305s  6.1430us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [167])
2.58305s  108.42ms  cudaMemcpyAsync
2.70668s  45.712us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [169])
2.70673s  6.1640us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [170])
2.70674s  106.22ms  cudaMemcpyAsync
2.82811s  38.808us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [172])
2.82815s  6.2850us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [173])
2.82815s  106.20ms  cudaMemcpyAsync
2.94938s  37.159us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [175])
2.94942s  6.5720us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [176])
2.94942s  108.41ms  cudaMemcpyAsync
3.07313s  38.406us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [178])
3.07317s  6.6080us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [179])
3.07318s  107.90ms  cudaMemcpyAsync
3.19612s  37.144us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [181])
3.19616s  6.3100us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [182])
3.19617s  112.42ms  cudaMemcpyAsync
3.32420s  38.706us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [184])
3.32424s  7.0680us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [185])
3.32425s  111.99ms  cudaMemcpyAsync
3.45132s  38.696us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [187])
3.45136s  6.5810us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [188])
3.45137s  108.90ms  cudaMemcpyAsync
3.57576s  39.791us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [190])
3.57580s  6.8510us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [191])
3.57581s  115.49ms  cudaMemcpyAsync
3.70653s  42.295us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [193])
3.70657s  6.2800us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [194])
3.70658s  107.60ms  cudaMemcpyAsync
3.82952s  40.220us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [196])
3.82956s  6.9070us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [197])
3.82957s  108.29ms  cudaMemcpyAsync
3.95318s  51.549us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [199])
3.95324s  7.5300us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [200])
3.95324s  107.05ms  cudaMemcpyAsync
4.07608s  46.694us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [202])
4.07612s  7.3540us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [203])
4.07613s  107.58ms  cudaMemcpyAsync
4.19895s  31.484us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [205])
4.19899s  6.5850us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [206])
4.19899s  108.91ms  cudaMemcpyAsync
4.32321s  38.687us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [208])
4.32324s  6.2210us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [209])
4.32325s  107.10ms  cudaMemcpyAsync
4.44747s  38.974us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [211])
4.44751s  6.7160us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [212])
4.44751s  107.82ms  cudaMemcpyAsync
4.57311s  40.580us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [214])
4.57316s  5.9250us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [215])
4.57316s  107.67ms  cudaMemcpyAsync
4.69819s  48.444us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [217])
4.69824s  7.3990us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [218])
4.69825s  107.75ms  cudaMemcpyAsync
4.82136s  36.517us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [220])
4.82140s  6.2110us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [221])
4.82140s  107.91ms  cudaMemcpyAsync
4.94473s  38.176us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [223])
4.94477s  6.2970us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [224])
4.94477s  107.19ms  cudaMemcpyAsync
5.06738s  41.160us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [226])
5.06742s  7.0460us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [227])
5.06743s  108.98ms  cudaMemcpyAsync
5.19188s  43.474us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [229])
5.19193s  7.1510us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [230])
5.19193s  107.40ms  cudaMemcpyAsync
5.31486s  43.815us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [232])
5.31491s  6.7150us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [233])
5.31491s  108.72ms  cudaMemcpyAsync
5.43911s  38.174us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [235])
5.43915s  5.8160us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [236])
5.43916s  107.86ms  cudaMemcpyAsync
5.56251s  36.619us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [238])
5.56254s  5.7280us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [239])
5.56255s  107.49ms  cudaMemcpyAsync
5.68540s  32.269us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [241])
5.68544s  6.1130us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [242])
5.68544s  109.00ms  cudaMemcpyAsync
5.81015s  38.704us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [244])
5.81019s  6.7200us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [245])
5.81020s  107.65ms  cudaMemcpyAsync
5.93345s  36.036us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [247])
5.93348s  6.3230us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [248])
5.93349s  109.17ms  cudaMemcpyAsync
6.05826s  37.787us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [250])
6.05830s  6.5050us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [251])
6.05831s  106.80ms  cudaMemcpyAsync
6.18084s  39.730us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [253])
6.18088s  7.5460us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [254])
6.18089s  108.85ms  cudaMemcpyAsync
6.30535s  37.841us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [256])
6.30539s  6.0890us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [257])
6.30539s  106.77ms  cudaMemcpyAsync
6.42788s  39.342us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [259])
6.42792s  5.8960us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [260])
6.42793s  107.25ms  cudaMemcpyAsync
6.55083s  44.713us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [262])
6.55088s  6.8750us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [263])
6.55088s  108.66ms  cudaMemcpyAsync
6.67520s  37.808us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [265])
6.67524s  6.2500us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [266])
6.67524s  107.87ms  cudaMemcpyAsync
6.79888s  37.005us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [268])
6.79891s  6.5440us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [269])
6.79892s  107.68ms  cudaMemcpyAsync
6.92236s  37.800us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [271])
6.92240s  6.3990us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [272])
6.92241s  107.64ms  cudaMemcpyAsync
7.04579s  36.419us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [274])
7.04583s  5.8760us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [275])
7.04583s  106.60ms  cudaMemcpyAsync
7.16811s  34.813us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [277])
7.16814s  5.8250us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [278])
7.16815s  106.86ms  cudaMemcpyAsync
7.29083s  36.458us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [280])
7.29087s  6.3800us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [281])
7.29088s  107.49ms  cudaMemcpyAsync
7.41416s  33.075us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [283])
7.41420s  6.0610us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [284])
7.41420s  108.49ms  cudaMemcpyAsync
7.53863s  40.371us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [286])
7.53868s  7.4370us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [287])
7.53868s  109.12ms  cudaMemcpyAsync
7.66382s  43.391us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [289])
7.66386s  8.0740us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [290])
7.66387s  109.29ms  cudaMemcpyAsync
7.78937s  37.312us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [292])
7.78941s  5.9010us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [293])
7.78942s  107.06ms  cudaMemcpyAsync
7.91245s  36.764us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [295])
7.91248s  5.9010us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [296])
7.91249s  107.55ms  cudaMemcpyAsync
8.03615s  43.416us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [298])
8.03619s  6.4760us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [299])
8.03620s  108.04ms  cudaMemcpyAsync
8.16019s  37.085us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [301])
8.16022s  5.6640us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [302])
8.16023s  107.56ms  cudaMemcpyAsync
8.28359s  32.802us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [304])
8.28362s  5.9040us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [305])
8.28363s  109.12ms  cudaMemcpyAsync
8.40882s  49.036us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [307])
8.40887s  6.0160us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [308])
8.40888s  107.58ms  cudaMemcpyAsync
8.53233s  34.030us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [310])
8.53237s  5.8050us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [311])
8.53238s  109.17ms  cudaMemcpyAsync
8.65757s  52.143us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [313])
8.65762s  7.9110us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [314])
8.65763s  107.96ms  cudaMemcpyAsync
8.78167s  37.684us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [316])
8.78171s  5.7580us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [317])
8.78172s  108.78ms  cudaMemcpyAsync
8.90650s  35.353us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [319])
8.90653s  6.1160us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [320])
8.90654s  107.92ms  cudaMemcpyAsync
9.03086s  37.297us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [322])
9.03090s  5.9060us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [323])
9.03090s  115.09ms  cudaMemcpyAsync
9.16224s  37.654us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [325])
9.16228s  6.5260us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [326])
9.16229s  110.53ms  cudaMemcpyAsync
9.28909s  36.890us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [328])
9.28913s  5.7240us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [329])
9.28914s  110.48ms  cudaMemcpyAsync
9.41600s  38.652us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [331])
9.41604s  6.7800us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [332])
9.41604s  111.56ms  cudaMemcpyAsync
9.54385s  37.595us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [334])
9.54389s  5.9600us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [335])
9.54389s  110.30ms  cudaMemcpyAsync
9.67045s  39.816us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [337])
9.67049s  7.4330us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [338])
9.67050s  110.58ms  cudaMemcpyAsync
9.79723s  38.647us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [340])
9.79727s  6.3070us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [341])
9.79727s  111.18ms  cudaMemcpyAsync
9.92489s  39.120us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [343])
9.92493s  6.4920us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [344])
9.92494s  109.90ms  cudaMemcpyAsync
10.0514s  46.815us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [346])
10.0514s  7.4340us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [347])
10.0514s  111.15ms  cudaMemcpyAsync
10.1788s  35.865us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [349])
10.1789s  5.8960us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [350])
10.1789s  110.47ms  cudaMemcpyAsync
10.3058s  35.613us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [352])
10.3058s  6.4700us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [353])
10.3058s  110.70ms  cudaMemcpyAsync
10.4349s  44.711us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [355])
10.4350s  7.8280us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [356])
10.4350s  110.64ms  cudaMemcpyAsync
10.5621s  35.882us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [358])
10.5622s  5.7660us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [359])
10.5622s  110.35ms  cudaMemcpyAsync
10.6890s  41.708us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [361])
10.6891s  6.3550us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [362])
10.6891s  110.56ms  cudaMemcpyAsync
10.8160s  36.732us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [364])
10.8161s  5.6440us  cudaLaunchKernel (resetHasMovedGPU(bool*, int) [365])
10.8161s  111.16ms  cudaMemcpyAsync
10.9440s  37.769us  cudaLaunchKernel (sandsimGPU(unsigned char*, bool*, int, curandStateXORWOW*, unsigned int) [367])
